12-26-2024 17:02:12 > - root - INFO - Start logging ...
12-26-2024 17:02:12 > - system - INFO - Set attributes of system.
12-26-2024 17:02:12 > - system - INFO - defaultdict(<class 'str'>, {'forcefield': 'CHARMM', 'positive_ion': 'POT', 'negative_ion': 'CLA'})
12-26-2024 17:02:12 > - system - INFO - Loaded pdb.
12-26-2024 17:02:12 > - system - DEBUG - resname: MGL
12-26-2024 17:02:12 > - system - DEBUG - id: 1
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - resname: MGLYOL
12-26-2024 17:02:12 > - system - DEBUG - id: MGLYOL
